project,class
jruby,JRubyClassExtensions
tapestry,PersistentLocale
jmeter,Graph
freecol,WorkerWish
jfreechart,SecondTests
argouml,UMLCheckBox2
c_jdbc,SelectRequestTask
freecol,Direction
jhotdraw,NodeFigure
tomcat,GroupChannel
freecs,HttpAuth
jasperreports,ChartLegendFactory
poi,If
proguard,ParseException
jruby,Pre2Rest1Post0Assigner
castor,LongToCastorTime
rssowl,ModelSearchImpl
poi,Region
castor,TestBetween
mvnforum,JiveXML
jfreechart,CategoryMarker
sunflow,Scene
tapestry,LocaleAppModule
jmeter,StatVisualizer
jedit,FocusHandler
picocontainer,ComponentMonitorHelper
jfreechart,ThermometerPlot
xalan,ExsltCommon
htmlunit,GAEJavaScriptExecutor
megamek,JumpshipMapSet
maven,ModelProblemCollector
poi,TestParseMissingBuiltInFuncs
argouml,ActionSetMode
poi,IEvaluationListener
jasperreports,JRBasePieSeries
ivatagroupware,MailImpl
freecol,ShowInputDialogSwingTask
ganttproject,ChartComponentBase
sunflow,FrameDisplay
tomcat,JarScanner
openjms,HTTPManagedConnectionFactory
sandmark,CFGResult
castor,MssqlTypeMapper
junit,RepeatedTest
emma,EMMAException
jmeter,JmeterKeyStore
xerces,HTMLFontElementImpl
lucene,FSTLookup
heritrix,PhantomEntry
javacc,ProductionDefinedChecker
openjms,DestinationManagerImpl
maven,CacheUtils
jext,FindAllDialog
poi,UnknownQCBit
jspwiki,FormUtil
weka,Bagging
jena,SpecializedGraphReifier_RDB
junit,BreadcrumbsTag
aoi,PathFromCurveDialog
poi,XLS2CSVmra
jext,StderrThread
jung,GradientVertexRenderer
jag,Diff
argouml,GoStateMachineToTop
nekohtml,HTMLEntities
jhotdraw,ArrangeToolBarBeanInfo
argouml,AbstractLexer
jedit,CheckBoxListModel
aoi,FunctionModule
jfreechart,ArcDialFrameTests
jhotdraw,AbstractConstrainer
maven,MultipleArtifactsNotFoundException
colt,DoubleBuffer
argouml,ImportStatusScreen
jmeter,BeanShellSamplerGui
jasperreports,JRValidationFault
poi,EMF
jgroups,CoordGmsImpl
findbugs,FindSeqNumTest
jruby,RubyEnumerator
quilt,TestNestedTryBlocks
jfreechart,CategoryLineAnnotationTests
jgroups,MultiLockDecree
weka,ActionLayout
jedit,BufferChangeListener
lucene,ParsePathType
lucene,QueryWrapperFilter
checkstyle,IllegalInstantiationCheck
findbugs,ReturnPathTypeDataflowFactory
jedit,ColorWell
jgrapht,Graphs
jasperreports,JRFillBreak
jasperreports,LongPercentageCalculator
jung,PageRankWithPriors
pooka,ReplyAction
trove,Repeater
jgroups,MemcachedConnector
ganttproject,Fonts
tomcat,WebAnnotationSet
pmd,UncommentedEmptyConstructorRuleTest
jedit,ModeWidgetFactory
exoportal,LogUtil
velocity,AbstractChainableUberspector
freecol,GetNationSummaryMessage
jruby,MethodDefNode
heritrix,ReplayInputStream
ganttproject,TopPanel
tomcat,ServletFileUpload
columba,AddressAutoCompleter
argouml,ActionSelectInvert
ganttproject,TestResourceAssignments
roller,PingQueueEntry
openjms,SerializationHelper
tomcat,AstChoice
checkstyle,AbstractLoader
findbugs,LocalVariableAnnotation
castor,StringToCastorDuration
freemind,ImportLinkedBranchWithoutRootAction
c_jdbc,AbstractTestLet
struts,TagLibraryInfoImpl
jruby,ZYieldNode
heritrix,FileUtilsTest
jgroups,Message
megamek,OptionInfo
jhotdraw,AbstractAttributedFigure
itext,Matrix
jasperreports,JRBaseSubreport
jasperreports,JRXPathExecuterUtils
jgraphpad,GraphOptionsDisconnectable
jedit,TagDecl
tomcat,Redirect
freecol,FreeColImageBorder
ganttproject,WeekendConfigurationPage
tomcat,NioEndpoint
proguard,InnerClassesInfo
jrat,AboutAction
picocontainer,BehaviorFactory
xalan,UnsupportedElement
poi,ExpPtg
jchempaint,GROMOS96Format
checkstyle,UnusedPrivateMethodCheckTest
columba,FilterCompoundCommand
jung,ViewTranslatingGraphMousePlugin
findbugs,MineBugHistoryCommandLine
castor,SerializableResolver
fitlibraryforfitnesse,EntityReference
jgraph,Connection
rssowl,InstallWizardOperation
informa,Atom_0_3_Parser
proguard,MyRecursionChecker
weka,AbstractSaver
quickserver,SensitiveInput
roller,ResetHitCountsTask
poi,HyperlinkExample
jchempaint,IChemModelRelay
itext,RichMediaAnimation
jung,DistanceCentralityScorer
tapestry,AbstractSessionPersistentFieldStrategy
jmeter,RegexExtractorGui
ivatagroupware,JavaScriptAction
fitlibraryforfitnesse,FolderRunnerUI
heritrix,IsCrossTopmostAssignedSurtHopDecideRule
pmd,ASTExtendsList
colt,QuantileBin1D
lucene,OrQueryNode
xalan,CachedXPathAPI
jung,BetweennessCentrality
checkstyle,Checker
jruby,CacheCompiler
jena,OntModelSpec
tapestry,ResourceCacheImplTest
sunflow,Instance
jhotdraw,CIELABColorSpace
openjms,SecurityException
argouml,ActionAddEventAsDeferrableEvent
poi,SeriesIndexRecord
colt,AbstractMatrix1D
xerces,ParenToken
megamek,ISBAPlasmaRifle
pooka,SwingPropertyEditor
jfreechart,ColorBlock
jruby,Struct
jruby,DECLARE_LOCAL_TYPE_Instr
galleon,AppManager
hsqldb,TriggerDefSQL
jfreechart,BlockContainer
tapestry,LocalizationSetterImpl
freecol,GoodsForSaleMessage
jung,VEPair
ganttproject,NewHumanAction
proguard,MyLoadConfigurationActionListener
jgroups,ReplicatedHashMapTest
c_jdbc,TableColumn
findbugs,FBDialog
poi,TestEscherOptRecord
findbugs,FindBugsSummaryStats
jgroups,FailureDetectionListener
colt,AbstractMatrix2D
poi,SlideAtomsSet
c_jdbc,Raidb2Template
sandmark,DynamicInliner
fitlibraryforfitnesse,VoidMethodException
poi,Sumproduct
jfreechart,ChartFactory
roller,ThreadManagerImpl
argouml,StylePanelFigPackage
drjava,SwingDocument
itext,EncodeHintType
ganttproject,ZoomOutAction
velocity,MethodCache
jasperreports,JRDefaultCompiler
joggplayer,Packet
picocontainer,AbstractBehavior
jasperreports,JRBasePrintGraphicElement
mvnforum,AttachmentBean
argouml,ChecklistStatus
jext,JoinAllLines
checkstyle,FileContents
freecol,SelectOptionUI
jasperreports,JRBaseGenericPrintElement
argouml,SelectionDefaultClarifiers
itext,IndexMarkerItem
jung,RemindTask
colt,AbstractMatrix3D
jext,FileSizeFunction
jasperreports,JRFillTextField
jchempaint,AutocorrelationDescriptorMass
jfreechart,SlidingGanttCategoryDataset
itext,TernaryTree
mvnforum,MvnForumForumXML
jgraphpad,FileUploadToServer
poi,CountryRecord
argouml,LookAndFeelMgr
pmd,BooleanPropertyTest
jgraphpad,NamedOutputStream
htmlunit,MooTools121Test
fitlibraryforfitnesse,Objects
james,JDBCVirtualUserTable
poi,SoundData
exoportal,UILogConfig
exoportal,EditActionListener
sandmark,LazyDFA
xerces,XSDUniqueOrKeyTraverser
jasperreports,DocxRelsHelper
wct,ManagementCommand
struts,SetTagTest
tomcat,Validator
jruby,CompoundArray
aoi,SPManagerFrame
displaytag,DefaultHssfExportView
c_jdbc,ResultCacheColumn
jext,KunststoffTabbedPaneUI
quilt,TaskControl
marauroa,MessageC2SLoginRequestKey
jasperreports,IntegerSerializer
xalan,ArgumentList
argouml,SettingsTabAppearance
jruby,Buffer
jspwiki,SimpleAdminBean
exoportal,CommunityPortal
axion,BaseDatabase
freemind,MarshallerTests
sandmark,AddCasts
jmeter,HTTPHC4Impl
jgroups,BindInterface
checkstyle,InputValidArrayInitIndent
poi,Substitute
picocontainer,ConstructorInjection
james,BaseCommand
drjava,FileOptionComponent
fitlibraryforfitnesse,GenericObjectFollows
poi,MinaMaxa
poi,TestTxInteractiveInfoAtom
sandmark,CFGTreeNode
maven,DefaultProfileSelector
drawswf,Font2ShapeImpl
jedit,EditorExitRequested
columba,CPanel
fitlibraryforfitnesse,PrimitiveArrayFixtureUnderTest
weka,StopAction
struts,StrutsTypeConverterTest
jruby,IRubyWarnings
heritrix,InterruptibleCharSequenceTest
htmlunit,AttributesTest
fitlibraryforfitnesse,GenericObjectContainsMap
tomcat,DeployTask
jmeter,SummaryReport
columba,DownAction
junit,RuleFieldValidator
proguard,AttributeVisitor
poi,TestEscherSpRecord
jedit,ShapedFoldPainter
jchempaint,Chem3D_Cartesian_2Format
tomcat,Registry
jspwiki,ForgetNullValuesLinkedHashMap
jhotdraw,UndoableAttributeEdit
jasperreports,JRBasePrintElement
javacc,JJDocGlobals
aoi,Portref
jasperreports,JRBaseGroup
weka,KDTree
weka,XMLDocument
struts,StrutsTilesRequestContext
jgroups,SynchronizedReplicatedMap
hsqldb,StatementExecRunnable
htmlunit,HTMLCollection
poi,RegionUtil
openjms,ServiceThreadListener
aoi,UniformMaterial
jruby,StaticScope
velocity,Runtime
jedit,NameSpace
megamek,BipedMech
jasperreports,DocxCellHelper
tomcat,DateAndTimeElement
roller,MediacastResource
c_jdbc,CjdbcGuiListener
mvnforum,GrammarInfoFacade
exoportal,SkinConfigConverter
weka,AbstractInstance
jparse,BooleanLiteralAST
jruby,StandardInvocationCompiler
columba,FolderTreeModel
tomcat,GenericParser
tomcat,ExecutorFactory
quartz,JBoss4RMIRemoteMBeanScheduler
findbugs,TrainUnconditionalDerefParams
velocity,SimpleNode
pooka,ForwardAsInlineAction
heritrix,TransformingIteratorWrapper
pmd,ASTInstanceOfExpression
heritrix,HeritrixProtocolSocketFactory
jedit,ClassGenerator
lucene,FieldInvertState
emma,FilterCfg
exoportal,WSRPException
ganttproject,PluginManager
jgroups,InterruptTest
weka,JSONSaver
jsXe,ActivityLogAction
xerces,RangeImpl
htmlunit,CookieManagerTest
checkstyle,GenericWhitespaceCheck
fitlibraryforfitnesse,CommentTraverse
lucene,DGapIntEncoder
xalan,NamespaceWildcardIterator
freecol,FreeColTcFile
xalan,SimpleIterator
marauroa,CreateAccountHandler
maven,MojoNotFoundException
jedit,ExtensionManager
jasperreports,JROdtSaveContributor
jgroups,Pinger
jedit,Descriptor
itext,DictNumberItem
jspwiki,HtmlStringToWikiTranslator
aoi,ValueSlider
weka,KDDataGenerator
weka,ListNode
itext,PdfPatternPainter
findbugs,WrongMapIterator
galleon,MovieManager
tapestry,PropertyAccess
megamek,AAAMissileWeapon
log4j,ProvisionNode
drjava,BackSlashTest
exoportal,ForumDependencyObjectManager
ganttproject,GPOptionChoicePanel
htmlunit,ActiveXObjectTest
weka,BinaryItem
jgrapht,ParanoidGraph
jasperreports,HyperlinkTypeEnum
tomcat,NamingResourcesMBean
ganttproject,UnlinkTasksAction
sunflow,LightSource
tapestry,BodyBuilder
megamek,MapSettings
freecol,MessageLabel
xerces,WMLAccessElementImpl
aoi,ExternalObjectEditingWindow
castor,DurationDescriptor
jasperreports,JRFillContext
jruby,OpElementOneArgAsgnNode
megamek,PlanetaryConditions
maven,DefaultModelUrlNormalizer
jruby,Platform
jrat,SimpleLog
jchempaint,INChIReader
columba,DefaultAddressbookImporter
jgroups,StateTransferApplication
xerces,SimpleLocator
ganttproject,GanttTask
jena,ReificationCache
argouml,UMLDecision
lucene,ParallelTermDocs
jruby,SearchState
castor,PointBaseGenerator
displaytag,TagAttribute
poi,Range
xalan,DTMException
jedit,HighlightingTree
rssowl,CoreUtils
hsqldb,Arrow
hsqldb,RowOutputInterface
jgraphpad,FileExportPDF
tomcat,ELContext
hsqldb,TableDerived
xalan,XMLMessages
checkstyle,JavadocVariableCheck
xerces,AttributePSVImpl
pmd,DataFlowNode
jruby,ClassCodeVersion
findbugs,DontCatchIllegalMonitorStateException
freemind,RegistryAttributeActor
joggplayer,EncodeAuxNearestMatch
tomcat,VirtualDirContext
itext,Do
jruby,NoVarsDynamicScope
proguard,PackageVisibleMemberContainingClassMarker
heritrix,PersistLogProcessor
megamek,PushAttackAction
exoportal,ExoMessageException
exoportal,PathComparator
drjava,AsyncCompletionArgs
jrat,ProperyConfigurator
weka,GraphicsState
jgroups,TCP_NIO
jmeter,ThroughputController
xerces,XML11EntityScanner
jgroups,MPING
exoportal,ExoActionEvent
jedit,SelectallButton
ivatagroupware,MailSetupForm
freemind,NodeNote
freecol,Goal
struts,Select
xerces,WMLOptionElementImpl
exoportal,TokenHandler
tapestry,DisabledFields
argouml,FigSeparator
heritrix,SimpleTypeTest
maven,DefaultMavenExecutionRequest
jmeter,XPathAssertionGui
castor,TokenMgrError
findbugs,SignatureParser
tapestry,FormInjectorDemo
jext,SetFunction
velocity,VelocityEngine
tomcat,LifecycleBase
columba,JDICTrayIcon
heritrix,ExtractorTool
jFin_DateMath,DaycountException
lucene,SpanPayloadCheckQuery
lucene,With
megamek,SubCapitalCannonWeapon
tapestry,ExceptionAnalyzerImplTest
lucene,ReopenReaderTask
lucene,AbstractQueryConfig
itext,CMap
colt,AbstractHistogram1D
sandmark,EdgeAttributes
emma,mergeCommand
weka,YongSplitInfo
megamek,LAAMissileWeapon
marauroa,MessageS2CLoginACK
c_jdbc,VirtualDatabaseDynamicMetaData
megamek,ISHVAC2
tomcat,GetHeaderNamesPrivilegedAction
jext,EFunction
megamek,ISHVAC5
findbugs,FindDoubleCheck
jasperreports,JRBaseRectangle
jfreechart,SpiderWebPlot
jasperreports,JRFillReportTemplate
exoportal,TestGetMarkup
jasperreports,JRPrintImageArea
c_jdbc,RAIDb0
xerces,LocatorProxy
colt,AbstractHistogram2D
freecol,ReportRequirementsAction
jchempaint,BCUTDescriptor
argouml,ModelElementInfoList
poi,SSlideLayoutAtom
sablecc,BooleanEx
argouml,Seperator
jruby,Configuration
megamek,RLWeapon
jchempaint,CoverageTest
hsqldb,IntervalMonthData
itext,Type3Font
junit,AssumptionViolatedException
tomcat,Declaration
jmeter,HttpTestSampleGui
poi,TestSheetNameFormatter
pmd,AbstractRuleTest
aoi,SPMTranslate
sunflow,Camera
colt,AbstractHistogram3D
jedit,TableModelHandler
freemind,JCondition
castor,URILocationImpl
jung,UndirectedEdgeArrowPredicate
castor,ObjectModifiedException
htmlunit,ComputedCSSStyleDeclarationTest
jung,UnicodeVertexStringer
columba,CMenu
exoportal,PortalContainerInfo
htmlunit,XMLDocumentTest
weka,AbstractTimeSeries
hsqldb,ServerAcl
tapestry,PageDocumentGeneratorImpl
sandmark,HalsteadClassMeasure
columba,ReplyToAllAction
ganttproject,FtpDocument
rssowl,FolderMarkGroupFilterTest
tapestry,Label
checkstyle,UnnecessaryParenthesesCheck
jasperreports,AsynchronousFillHandle
jruby,TextSymbolMemoryIO
exoportal,ServletWrapper
jspwiki,CheckLockTag
jFin_DateMath,FixedPeriod
jruby,JavaMethodTwo
sandmark,AlgOP
xerces,KeyRefValueStore
drawswf,KunststoffTabbedPaneUI
freecs,CallMembershipObject
jmeter,AnchorModifier
poi,EvaluationException
jgroups,LocationResponse
jfreechart,FastScatterPlot
poi,SpecialCachedValue
pmd,OverrideBothEqualsAndHashcode
columba,ReceivingMessageController
openjms,DisconnectionTestCase
castor,JDOManager
aoi,SimplexNoise
jena,MixedGraphMemStore
displaytag,ListHolder
jhotdraw,JAttributeSliderBeanInfo
tomcat,MapperListener
checkstyle,InputEqualsAvoidNullOutter
roller,HandlerBaseTest
castor,SQLColumnInfo
roller,CommentServlet
megamek,TriggerBPodDialog
exoportal,POP3MessageProtocolPlugin
exoportal,ViewMBeanRenderer
galleon,MusicConfiguration
freecol,AIColony
jruby,DEFINE_INSTANCE_METHOD_Instr
oscache,GetStaleEntryAndCancelUpdate
mvnforum,FavoriteThreadWebHandler
jung,PerspectiveImageLensSupport
columba,VersionRenderer
marauroa,MessageS2CChooseCharacterACK
lucene,CacheEntry
tapestry,MethodAdviceDemo
argouml,CollabDiagramGraphModel
argouml,ModelAccessModelInterpreter
proguard,LineNumberTableAttribute
exoportal,RegistrationOperationsInterfaceImp
fitlibraryforfitnesse,UsePropertyEditor
quartz,JobExecutionContext
freecol,StatusPanel
argouml,ActionResolve
poi,BulletsDemo
velocity,Introspector
picocontainer,LifecycleAdapter
c_jdbc,ParallelDB
jchempaint,AtomValenceDescriptor
argouml,CrOperNameConflict
poi,MemErrPtg
htmlunit,DescendantElementsIterator
jgraphpad,FormatLockNotDisconnectable
xalan,Method
jhotdraw,CloseHandle
castor,DTD
jgrapht,WeightCombiner
checkstyle,AbstractSuperCheck
aoi,CylindricalMapping
jasperreports,DocxDocumentHelper
velocity,VelocityServletTestCase
proguard,MemberSpecificationElement
columba,ComponentExtensionHandler
fitlibraryforfitnesse,DomainCheckTraverse
itext,BaseField
jchempaint,ValidationReport
castor,ValidationException
jchempaint,MinimalPathIteratorTest
roller,ReadFromIndexOperation
columba,cDocument
jmeter,ConversionHelp
castor,SqlTimestampToDate
megamek,MMLBayWeapon
jruby,Pre1Rest1Post0BlockAssigner
c_jdbc,ExtensiveCacheScenario
log4j,SimpleSocketServer
jhotdraw,BezierNodeEdit
columba,ShowFAQAction
jgrapht,EdmondsKarpMaximumFlow
jena,JenaReader
openjms,AuthenticationMgr
columba,FolderEvent
findbugs,NonImplicitExceptionPostDominatorsAnalysis
columba,EudoraMailImportFilter
jmoney,Start
jgroups,SameSeqnoSender
poi,Errortype
argouml,CoreHelperEUMLImpl
columba,IdentityInfoPanel
jasperreports,JRPenUtil
megamek,InfantryShotgunCombatWeapon
weka,SetInstancesPanel
poi,LocalTestNode
jasperreports,DelegatePropertiesHolder
displaytag,BaseNestableRuntimeException
jena,rset
jgroups,MessageDispatcher
aoi,CosineModule
maven,SettingsParseException
drjava,DetachedFrame
junit,WikiEngine
jfreechart,StandardXYItemRendererTests
jfreechart,KeyedValues2D
tapestry,FieldComponent
jext,VersionCheck
findbugs,OutputStreamXMLOutput
poi,AreaPtgBase
megamek,PlayerColors
tapestry,OnEventWorker
maven,SimpleProblemCollector
exoportal,WSRP_v1_Markup_Binding_SOAPImpl
xalan,ElemNumber
jfreechart,DialPointer
freecol,DeclineMoundsMessage
roller,WikipediaLinkPlugin
proguard,ReferencedClassVisitor
jruby,RubyGzipWriter
galleon,Effect
jasperreports,JRDesignTimeSeriesDataset
jchempaint,IAtom
megamek,EntitySprite
heritrix,RefinedScope
poi,TestRangeDelete
rssowl,ISearchFilter
jhotdraw,ToolsToolBar
james,ProtocolSession
exoportal,ProducerNodeRenderer
fitlibraryforfitnesse,ArrayFixtureUnderTest
jruby,RubyEnumerable
jgroups,BasicConnectionTable
jasperreports,PptxContentTypesHelper
tomcat,Streams
jmeter,FloatProperty
argouml,UMLCollaborationRepresentedClassifierComboBoxModel
freecol,AttackChange
megamek,StreakLRMWeapon
jhotdraw,CSSRule
jung,GraphMLReader2
exoportal,SimpleFsRepositoryManagerImpl
tomcat,ThreadNameElement
jasperreports,JRPrinterAWT
jena,MultiUnion
james,FetchScheduler
columba,ContentType
freecol,GUIMessage
columba,TableModelChangedEvent
pmd,PMD
jruby,MethodBodyCompiler
poi,TestDate
exoportal,UISearchForm
jung,KeyElementParser
jext,RandomFunction
argouml,ObjectFlowStateStateNotationUml
xalan,FunctionOneArg
exoportal,VCardFormatter
poi,EscherBSERecord
poi,ChunkFactory
pmd,ASTJspComment
exoportal,UINavigation
poi,ConvertAnchor
jgraph,JGraphSimpleLayout
columba,TransparentWindow
jchempaint,SystemOutLoggingTool
columba,FolderOptionsDialog
antlr,NoViableAltException
megamek,WeaponAttackAction
jmeter,StandardGenerator
fitlibraryforfitnesse,ReferenceTraverse
jgrapht,EquivalenceSetCreator
argouml,SettingsDialog
jasperreports,JRXlsxExporterNature
jfreechart,StandardDialRangeTests
velocity,MethodOverloadingTestCase
jhotdraw,OpenFileAction
exoportal,SmsServiceImpl
hsqldb,HsqlDeque
tapestry,BindingSourceImplTest
jgraph,PolyLine
jruby,CallbackMarshaller
galleon,ImageFile
megamek,CLStreakSRM4IOS
sunflow,RealtimeBenchmark
quartz,DB2v6Delegate
poi,Polygon
exoportal,MX4JComponentAdapterFactory
megamek,MissileWeaponHandler
aoi,Grad
junit,None
jfreechart,TimePeriodValuesTests
jasperreports,ExtensionsEnvironment
jedit,ErrorListDialog
findbugs,TypeQualifierDataflow
jedit,MyFilteredListModel
informa,WithDescriptionMIF
weka,SerializedModelSaverCustomizer
ganttproject,SimpleRenderedImage
findbugs,IntAnnotation
lucene,NormsWriterPerThread
megamek,InfantryRifleMauserG150Weapon
jext,JextMenu
proguard,DynamicMemberReferenceInitializer
exoportal,URLRewriter
jmeter,AbstractTable
findbugs,I18N
ganttproject,CommonPanel
openjms,ConfigurationLoader
c_jdbc,DriverTest
velocity,JJTParserState
findbugs,BCPMethodReturnCheck
maven,ExtensionRealmCache
ganttproject,TaskDisplayColumnsTagHandler
sandmark,EdgeImpl
squirrel_sql,GraphController
webmail,ToplevelURLHandler
weka,IncrementalClassifierEvaluator
axion,AxionColumnsMetaTableUpdater
tomcat,ResourceCache
drjava,SingleDisplayModel
jgraphpad,RadialTreeLayoutAlgorithm
quickserver,NonBlockingClientHandler
argouml,Goal
weka,ActionViewToolbar
jruby,ReturnNode
megamek,SpecDam
jchempaint,HydrogenPlacer
aoi,Curve
drjava,Gap
heritrix,SurtPrefixScope
velocity,StringResourceLoader
pmd,SuppressWarningsTest
columba,RemoteRootFolder
weka,Memory
jchempaint,GhemicalMMReader
jena,DBQuery
poi,TestTextBytesAtom
itext,HtmlTags
xalan,AVT
jext,KunststoffCheckBoxIcon
openjms,Clock
antlr,TestCaseInputFile
jasperreports,Attribute
openjms,BasicEventManager
argouml,ArgoFrame
jasperreports,JRXmlExporter
pooka,CutAction
fitlibraryforfitnesse,TableOnParse
log4j,Appender
argouml,GoModelElementToTemplateParameter
sandmark,HalsteadAppEffortMeasure
jmeter,SaveGraphics
wct,AQAElement
jmeter,ComparisonVisualizer
jmeter,ConversionUtils
trove,TIdentityHashMapTest
tomcat,ChannelData
freecol,ReportExplorationPanel
jruby,AutoPointerAllocator
castor,Insurant
jgroups,ControlPanel
tomcat,ParameterInfo
jspwiki,CheckVersionTag
pmd,ASTAssertStatement
axion,FileOffsetLobSource
columba,PreviousUnreadMessageAction
ganttproject,HTMLStylesheetImpl
jmeter,ReplaceStringWithFunctions
displaytag,HtmlTableWriter
tomcat,SessionMessageImpl
oscache,ScopeEvent
openjms,Executor
freecol,DragListener
freecol,ColonyTradeItem
squirrel_sql,GraphControllerXmlBean
velocity,StringResourceLoaderTestCase
jruby,RubyYaccLexer
weka,ClustererPerformanceEvaluator
jgroups,NetworkUtilization
jgrapht,AsUndirectedGraphTest
poi,AreaReference
columba,GetMimePartSourceStreamTest
jspwiki,PageTimeComparator
weka,AttributeSelectedClassifier
jena,SeqImpl
weka,SGDText
findbugs,NullnessAnnotationDatabase
jfreechart,SeriesChangeEvent
joggplayer,PopUpButton
drawswf,SoundInfo
emma,AbstractReportGenerator
c_jdbc,AbstractRequest
jmeter,OnErrorPanel
pmd,ASTFieldDeclaration
jasperreports,JRScriptletFactory
drjava,DebugException
exoportal,UIUserProfile
jgraph,GraphLayoutCache
checkstyle,SimplifyBooleanReturnCheck
jung,SatelliteRotatingGraphMousePlugin
exoportal,Paragraph
jmeter,JavaScript
exoportal,RepositoryManagerImpl
jag,Log
argouml,FigBody
lucene,MultipleTermPositions
tapestry,AbstractInstantiator
openjms,RMIConnectorCfg
drawswf,ScreenCompositeContext_INT_PACK
maven,UnresolvableModelException
jena,SimpleReifierFragmentHandler
findbugs,AuxClasspathEntryFileFilter
argouml,FigHead
jspwiki,PageDateComparator
ganttproject,CheckBoxAction
itext,Annotation
proguard,NameAndTypeUsageMarker
xalan,FollowingIterator
argouml,UndoCommonBehaviorHelperDecorator
jspwiki,ReferredPagesPlugin
argouml,EventToSignalEvent
freemind,NoFilteringCondition
jfreechart,StatisticalBarRendererTests
jchempaint,MMFF94EnergyFunction
openjms,BaseLease
jgroups,PullPushHandler
drjava,FlatFileGroupingState
drawswf,DrawObjectFactory
sunflow,Point2
sunflow,Point3
mvnforum,ConfigurationWebHandler
columba,FullNameDialog
ganttproject,DependencyTableModel
exoportal,ReplyMessageActionListener
xalan,Message
ganttproject,TimeUnitFunctionOfDateImpl
xerces,DOMInputSource
weka,MarginCalculator
lucene,PriorityQueue
axion,InsertedRowIterator
pmd,JJTJavaParserState
findbugs,MergeMap
jfreechart,TableXYDatasetTests
lucene,TermVectorsReader
jena,ConcatenatedIterator
pmd,DataPoint
xmojo,JmxUtilities
jspwiki,DavItem
castor,PartyIdDescriptor
poi,DOPAbstractType
jhotdraw,EditorPanel
sandmark,KafuraClassMeasure
castor,SimpleTypeDefinition
jgraph,BusinessObjectEditor2
quartz,JobChainingJobListener
heritrix,CrawlController
checkstyle,ImportOrderCheck
jgrapht,DirectedSubgraph
jena,RDFTest
jruby,Block
quartz,StdSchedulerFactory
openjms,MessageHandles
jext,LastPosFunction
columba,GeneralOptionsDialog
displaytag,PostHref
pmd,DuplicateJspImportTest
megamek,ISLRM10OS
freemind,JMonthChooser
tomcat,Channel
findbugs,ReturnPathType
jruby,ParameterNode
findbugs,OpcodeStackDetector
lucene,PlainTextDictionary
jruby,EnumMarshaller
openjms,ManagedConnectionTestCase
fitlibraryforfitnesse,MultiDefinedActionRunnerTraverse
freecol,AllTests
freecol,BaseCostDecider
jext,StyleRenderer
cobertura,SwitchTouchData
tomcat,ClusterSingleSignOnListener
hsqldb,DataFileCache
jasperreports,JRFillDataRange
freecol,NationStateRenderer
sunflow,Teapot
log4j,LogLevelFormatException
jfreechart,SegmentedTimelineTests2
heritrix,HasViaDecideRule
findbugs,AnyMethodReturnValueStreamFactory
emma,CONSTANT_ref_info
castor,DataSourceConnectionFactory
jchempaint,ExtendedFingerprinterTest
pooka,MessageProxyTransferable
jung,AbstractPopupGraphMousePlugin
jhotdraw,Tool
jedit,DockablePanel
jedit,TOCCellRenderer
xerces,XSIErrorReporter
columba,TaskRenderer
jmeter,FieldStringEditor
mvnforum,JiveGroupXML
struts,NamedAttribute
roller,ScheduledEntriesTask
castor,GroupInfo
findbugs,DetectorToDetector2Adapter
jena,HasValueRestrictionImpl
jchempaint,CNNRegressionModelTest
jedit,FilteredTableModel
poi,HWPFDocument
struts,TabbedPane
jung,VertexLabelPositionDemo
emma,ClassDef
sandmark,AddFields
ganttproject,LanguageSettingsPanel
tomcat,Choose
ivatagroupware,SetSettingTag
lucene,CloseReaderTask
struts,JSONInterceptor
jchempaint,CIFReader
joggplayer,TransferableObject
itext,Anchor
maven,DefaultArtifactResolverTest
columba,cPointUnit
antlr,AssignTokenTypesBehavior
lucene,DirectAllocator
displaytag,SubListItem
maven,LifecyclePluginResolver
cobertura,ClassInstrumenter
fitlibraryforfitnesse,InJustSut
jext,DawnAction
proguard,StackMapFrameVisitor
antlr,Attribute
checkstyle,AbstractHeaderCheck
megamek,EntityWeightClass
weka,WekaEnumeration
megamek,GBC
megamek,InfantryGrenadeStandardWeapon
mvnforum,MessageFolderWebHandler
megamek,CoordsEncoder
pmd,LongClassRule
xalan,TemplateList
drjava,DebugWatchData
tomcat,AstEqual
galleon,UpcomingEventsLocationsMenuScreen
heritrix,BdbUriUniqFilterTest
proguard,NotMatcher
aoi,InterpModule
wct,ArcHarvestResultDTO
jmeter,DataSourceElement
ganttproject,ExporterToImage
argouml,FigActionState
cobertura,FirstPassMethodInstrumenter
castor,RecurringDuration
jchempaint,Quaternion
fitlibraryforfitnesse,ArrayFixtureUnderTestWithMap
findbugs,CFG
jruby,RESCUED_BODY_START_MARKER_Instr
findbugs,FindBugsMessageFormat
megamek,CLSRM1IOS
xalan,DTMDefaultBaseTraversers
xalan,Template
tomcat,ContextResourceEnvRef
xalan,ToStream
poi,Section
argouml,AssociationEndNameNotationUml
drjava,OrGUIAvailabilityComponentAdapter
tapestry,InterceptorStackBuilder
tomcat,ListELResolver
poi,HPBFDumper
freemind,MapAdapter
hsqldb,RangeIteratorBase
jhotdraw,PaletteColorSliderUI
marauroa,LogStatisticsCommand
emma,InstrProcessorST
argouml,UMLCollaborationInteractionListModel
